user_id,age,gender,occupation,zip_code,prenom,nom,email,preferred_genre,best_rated_movie
35,20,F,homemaker,42459,Jeremy,Shaffer,jeremy.shaffer@yahoo.com,Action,Air Force One (1997)
36,19,F,student,93117,Nathan,Camacho,nathan.camacho@gmail.com,Drama,Mad City (1997)
37,23,M,student,55105,Kimberly,Vasquez,kimberly.vasquez@gmail.com,Action,Batman (1989)
38,28,F,other,54467,Claire,Wallace,claire.wallace@outlook.com,Comedy,Aladdin (1992)
39,41,M,entertainment,01040,Michael,Williams,michael.williams@yahoo.com,Drama,Spice World (1997)
40,38,M,scientist,27514,Jason,Wiggins,jason.wiggins@yahoo.com,Drama,Chasing Amy (1997)
41,33,M,engineer,80525,Eric,Jackson,eric.jackson@gmail.com,Drama,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
42,30,M,administrator,17870,Michael,Ward,michael.ward@yahoo.com,Drama,E.T. the Extra-Terrestrial (1982)
43,29,F,librarian,20854,Lisa,Lester,lisa.lester@outlook.com,Comedy,"Shawshank Redemption, The (1994)"
44,26,M,technician,46260,Joshua,Johnson,joshua.johnson@yahoo.com,Drama,"Terminator, The (1984)"
45,29,M,programmer,50233,Anthony,Carpenter,anthony.carpenter@yahoo.com,Comedy,Mystery Science Theater 3000: The Movie (1996)
46,27,F,marketing,46538,Todd,Munoz,todd.munoz@outlook.com,Drama,Seven Years in Tibet (1997)
47,53,M,marketing,07102,Jennifer,White,jennifer.white@outlook.com,Drama,Boogie Nights (1997)
48,45,M,administrator,12550,Gary,Woodard,gary.woodard@outlook.com,Drama,Raiders of the Lost Ark (1981)
49,23,F,student,76111,Justin,Hernandez,justin.hernandez@gmail.com,Comedy,Ed Wood (1994)
50,21,M,writer,52245,Samantha,Anderson,samantha.anderson@outlook.com,Drama,"Pillow Book, The (1995)"
51,28,M,educator,16509,Jeremy,Woodard,jeremy.woodard@outlook.com,Adventure,Much Ado About Nothing (1993)
52,18,F,student,55105,Lisa,Mcmillan,lisa.mcmillan@yahoo.com,Drama,Stealing Beauty (1996)
53,26,M,programmer,55414,Todd,Gregory,todd.gregory@gmail.com,Action,Raiders of the Lost Ark (1981)
54,22,M,executive,66315,William,Griffin,william.griffin@gmail.com,Thriller,Ransom (1996)
55,37,M,programmer,01331,Jonathan,Watson,jonathan.watson@yahoo.com,Action,Die Hard (1988)
56,25,M,librarian,46260,Glenda,Mills,glenda.mills@yahoo.com,Comedy,Independence Day (ID4) (1996)
57,16,M,none,84010,Andrew,Martinez,andrew.martinez@yahoo.com,Comedy,Fly Away Home (1996)
58,27,M,programmer,52246,James,Sutton,james.sutton@gmail.com,Drama,"Princess Bride, The (1987)"
59,49,M,educator,08403,Tamara,Randall,tamara.randall@yahoo.com,Drama,Dead Poets Society (1989)
60,50,M,healthcare,06472,Judy,Morton,judy.morton@gmail.com,Drama,To Kill a Mockingbird (1962)
61,36,M,engineer,30040,Kathryn,Shannon,kathryn.shannon@gmail.com,Thriller,Conspiracy Theory (1997)
62,27,F,administrator,97214,Kimberly,Mathis,kimberly.mathis@yahoo.com,Drama,GoodFellas (1990)
63,31,M,marketing,75240,Joshua,Thompson,joshua.thompson@gmail.com,Drama,Fargo (1996)
64,32,M,educator,43202,Marie,West,marie.west@yahoo.com,Drama,Local Hero (1983)
65,51,F,educator,48118,George,Williams,george.williams@gmail.com,Drama,Dead Poets Society (1989)
66,23,M,student,80521,Mia,Reynolds,mia.reynolds@yahoo.com,Action,Return of the Jedi (1983)
67,17,M,student,60402,Katrina,Boyd,katrina.boyd@gmail.com,Comedy,"Shawshank Redemption, The (1994)"
68,19,M,student,22904,William,Lewis,william.lewis@outlook.com,Drama,Jerry Maguire (1996)
69,24,M,engineer,55337,Spencer,Wilson,spencer.wilson@outlook.com,Drama,When the Cats Away (Chacun cherche son chat) (1996)
70,27,M,engineer,60067,Kimberly,Allen,kimberly.allen@outlook.com,Action,Mary Poppins (1964)
71,39,M,scientist,98034,Julie,Garcia,julie.garcia@outlook.com,Drama,Blade Runner (1982)
72,48,F,administrator,73034,Jesse,Haas,jesse.haas@yahoo.com,Drama,"Terminator, The (1984)"
73,24,M,student,41850,Jenny,King,jenny.king@gmail.com,Drama,"Manchurian Candidate, The (1962)"
74,39,M,scientist,T8H1N,Katherine,Smith,katherine.smith@gmail.com,Drama,Good Will Hunting (1997)
75,24,M,entertainment,08816,Lauren,Benitez,lauren.benitez@yahoo.com,Comedy,Trees Lounge (1996)
76,20,M,student,02215,Margaret,Aguilar,margaret.aguilar@yahoo.com,Drama,2001: A Space Odyssey (1968)
77,30,M,technician,29379,Melissa,Nielsen,melissa.nielsen@gmail.com,Drama,"Maltese Falcon, The (1941)"
78,26,M,administrator,61801,Lisa,Rowe,lisa.rowe@yahoo.com,Comedy,Love! Valour! Compassion! (1997)
79,39,F,administrator,03755,Timothy,Koch,timothy.koch@yahoo.com,Drama,Fargo (1996)
80,34,F,administrator,52241,Gregory,Armstrong,gregory.armstrong@gmail.com,Drama,Red Rock West (1992)
81,21,M,student,21218,Isaac,Gates,isaac.gates@outlook.com,Comedy,"Time to Kill, A (1996)"
82,50,M,programmer,22902,Teresa,Richards,teresa.richards@gmail.com,Drama,"Shawshank Redemption, The (1994)"
83,40,M,other,44133,Elizabeth,Gonzalez,elizabeth.gonzalez@outlook.com,Comedy,"River Wild, The (1994)"
84,32,M,executive,55369,Keith,Roberts,keith.roberts@outlook.com,Drama,"Usual Suspects, The (1995)"
85,51,M,educator,20003,David,Farmer,david.farmer@yahoo.com,Drama,"Godfather: Part II, The (1974)"
86,26,M,administrator,46005,April,Davis,april.davis@outlook.com,Drama,Contact (1997)
87,47,M,administrator,89503,Darin,Fields,darin.fields@gmail.com,Comedy,Jurassic Park (1993)
88,49,F,librarian,11701,Charles,Morales,charles.morales@yahoo.com,Drama,Money Talks (1997)
89,43,F,administrator,68106,Daniel,Salinas,daniel.salinas@outlook.com,Drama,When Harry Met Sally... (1989)
90,60,M,educator,78155,Patrick,Cooper,patrick.cooper@outlook.com,Drama,"Adventures of Priscilla, Queen of the Desert, The (1994)"
91,55,M,marketing,01913,Matthew,Powell,matthew.powell@yahoo.com,Drama,E.T. the Extra-Terrestrial (1982)
92,32,M,entertainment,80525,Cristina,Holloway,cristina.holloway@gmail.com,Drama,Independence Day (ID4) (1996)
93,48,M,executive,23112,Tina,Farrell,tina.farrell@yahoo.com,Comedy,Mr. Holland's Opus (1995)
94,26,M,student,71457,Karen,Anderson,karen.anderson@yahoo.com,Drama,Glory (1989)
95,31,M,administrator,10707,Jonathan,Watkins,jonathan.watkins@gmail.com,Drama,Toy Story (1995)
96,25,F,artist,75206,Lorraine,Haney,lorraine.haney@gmail.com,Drama,"Nightmare Before Christmas, The (1993)"
97,43,M,artist,98006,Rachel,Petersen,rachel.petersen@yahoo.com,Drama,Star Trek: The Wrath of Khan (1982)
98,49,F,executive,90291,Melissa,Logan,melissa.logan@outlook.com,Comedy,Manhattan (1979)
99,20,M,student,63129,Ernest,Anderson,ernest.anderson@yahoo.com,Drama,Get Shorty (1995)
100,36,M,executive,90254,Kylie,Mejia,kylie.mejia@gmail.com,Drama,As Good As It Gets (1997)
101,15,M,student,05146,Frederick,Perry,frederick.perry@outlook.com,Comedy,Jerry Maguire (1996)
102,38,M,programmer,30220,Sandra,Reynolds,sandra.reynolds@yahoo.com,Action,"Terminator, The (1984)"
103,26,M,student,55108,Christopher,Gomez,christopher.gomez@yahoo.com,Action,"Spitfire Grill, The (1996)"
104,27,M,student,55108,Mary,Braun,mary.braun@yahoo.com,Drama,"Full Monty, The (1997)"
105,24,M,engineer,94043,Kevin,Butler,kevin.butler@outlook.com,Drama,Contact (1997)
106,61,M,retired,55125,Jill,Smith,jill.smith@yahoo.com,Drama,Dances with Wolves (1990)
107,39,M,scientist,60466,David,Callahan,david.callahan@yahoo.com,Thriller,Boogie Nights (1997)
108,44,M,educator,63130,Jocelyn,Huynh,jocelyn.huynh@outlook.com,Drama,Sense and Sensibility (1995)
109,29,M,other,55423,Heather,Duran,heather.duran@yahoo.com,Action,Contact (1997)
110,19,M,student,77840,David,Hanna,david.hanna@yahoo.com,Action,Titanic (1997)
111,57,M,engineer,90630,Samantha,Barajas,samantha.barajas@yahoo.com,Drama,"Full Monty, The (1997)"
112,30,M,salesman,60613,Linda,Hayes,linda.hayes@outlook.com,Drama,Evita (1996)
113,47,M,executive,95032,Dennis,Gibson,dennis.gibson@outlook.com,Drama,"Fan, The (1996)"
114,27,M,programmer,75013,Garrett,Thomas,garrett.thomas@outlook.com,Drama,Brazil (1985)
115,31,M,engineer,17110,Morgan,Reeves,morgan.reeves@gmail.com,Drama,Babe (1995)
116,40,M,healthcare,97232,Jennifer,Murphy,jennifer.murphy@outlook.com,Drama,"Godfather: Part II, The (1974)"
117,20,M,student,16125,Susan,Delacruz,susan.delacruz@yahoo.com,Action,Chasing Amy (1997)
118,21,M,administrator,90210,Sue,Martinez,sue.martinez@outlook.com,Drama,"Shining, The (1980)"
119,32,M,programmer,67401,Charles,Cordova,charles.cordova@gmail.com,Drama,Backbeat (1993)
120,47,F,other,06260,Leon,Smith,leon.smith@outlook.com,Drama,"Birdcage, The (1996)"
121,54,M,librarian,99603,Melissa,Saunders,melissa.saunders@yahoo.com,Drama,"Postino, Il (1994)"
122,32,F,writer,22206,Sandy,Reid,sandy.reid@gmail.com,Drama,"Age of Innocence, The (1993)"
123,48,F,artist,20008,Elizabeth,Cordova,elizabeth.cordova@yahoo.com,Drama,2001: A Space Odyssey (1968)
124,34,M,student,60615,Lauren,Pace,lauren.pace@yahoo.com,Action,Seven (Se7en) (1995)
125,30,M,lawyer,22202,Elizabeth,Green,elizabeth.green@outlook.com,Comedy,"Return of the Pink Panther, The (1974)"
126,28,F,lawyer,20015,Michelle,Johnson,michelle.johnson@gmail.com,Drama,That Darn Cat! (1997)
127,33,M,none,73439,Nicholas,Greene,nicholas.greene@outlook.com,Action,Star Trek III: The Search for Spock (1984)
128,24,F,marketing,20009,Seth,Chen,seth.chen@outlook.com,Drama,Rear Window (1954)
129,36,F,marketing,07039,Linda,Clayton,linda.clayton@yahoo.com,Drama,"English Patient, The (1996)"
130,20,M,none,60115,Jody,Turner,jody.turner@gmail.com,Action,Jaws (1975)
131,59,F,administrator,15237,Oscar,Hernandez,oscar.hernandez@yahoo.com,Drama,Fargo (1996)
132,24,M,other,94612,Jennifer,Gibson,jennifer.gibson@gmail.com,Drama,Dead Man (1995)
133,53,M,engineer,78602,Charlene,Walsh,charlene.walsh@gmail.com,Drama,Contact (1997)
134,31,M,programmer,80236,Joseph,Charles,joseph.charles@gmail.com,Drama,Titanic (1997)
135,23,M,student,38401,Lisa,Duncan,lisa.duncan@yahoo.com,Thriller,"Silence of the Lambs, The (1991)"
136,51,M,other,97365,Kristi,Chang,kristi.chang@gmail.com,Drama,Leaving Las Vegas (1995)
137,50,M,educator,84408,Tina,Morrison,tina.morrison@outlook.com,Action,Die Hard (1988)
138,46,M,doctor,53211,Theodore,Stewart,theodore.stewart@yahoo.com,Drama,"Brothers McMullen, The (1995)"
139,20,M,student,08904,Mary,Johnson,mary.johnson@gmail.com,Drama,Ulee's Gold (1997)
140,30,F,student,32250,Laurie,Taylor,laurie.taylor@outlook.com,Drama,"English Patient, The (1996)"
141,49,M,programmer,36117,Melissa,Russell,melissa.russell@yahoo.com,Comedy,Contact (1997)
142,13,M,other,48118,Wanda,Harding,wanda.harding@outlook.com,Comedy,"Wrong Trousers, The (1993)"
143,42,M,technician,08832,Cynthia,Henderson,cynthia.henderson@outlook.com,Thriller,"Edge, The (1997)"
144,53,M,programmer,20910,Donna,Gibbs,donna.gibbs@outlook.com,Drama,"Fish Called Wanda, A (1988)"
145,31,M,entertainment,V3N4P,Kelly,Wheeler,kelly.wheeler@outlook.com,Drama,Jerry Maguire (1996)
146,45,M,artist,83814,David,Taylor,david.taylor@yahoo.com,Drama,"Fast, Cheap & Out of Control (1997)"
147,40,F,librarian,02143,Jenny,Alvarez,jenny.alvarez@outlook.com,Drama,Ma vie en rose (My Life in Pink) (1997)
148,33,M,engineer,97006,Jermaine,Johnson,jermaine.johnson@yahoo.com,Drama,"Close Shave, A (1995)"
149,35,F,marketing,17325,James,Robinson,james.robinson@yahoo.com,Drama,"Full Monty, The (1997)"
150,20,F,artist,02139,Shannon,Barnes,shannon.barnes@yahoo.com,Drama,Return of the Jedi (1983)
151,38,F,administrator,48103,Angela,Ramos,angela.ramos@outlook.com,Drama,Richard III (1995)
152,33,F,educator,68767,Ronald,Flores,ronald.flores@gmail.com,Comedy,Executive Decision (1996)
153,25,M,student,60641,Cody,Murphy,cody.murphy@yahoo.com,Action,"Shawshank Redemption, The (1994)"
154,25,M,student,53703,John,Berger,john.berger@yahoo.com,Drama,Brazil (1985)
155,32,F,other,11217,Austin,Smith,austin.smith@gmail.com,Thriller,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
156,25,M,educator,08360,Aaron,Walsh,aaron.walsh@yahoo.com,Drama,Paths of Glory (1957)
157,57,M,engineer,70808,Michael,Bennett,michael.bennett@gmail.com,Drama,Swingers (1996)
158,50,M,educator,27606,Frederick,Lewis,frederick.lewis@outlook.com,Action,Devil in a Blue Dress (1995)
159,23,F,student,55346,Carrie,Reyes,carrie.reyes@gmail.com,Comedy,Grumpier Old Men (1995)
160,27,M,programmer,66215,Emily,Brown,emily.brown@gmail.com,Drama,Jaws (1975)
161,50,M,lawyer,55104,Nicholas,Deleon,nicholas.deleon@gmail.com,Drama,Groundhog Day (1993)
162,25,M,artist,15610,Frank,Cruz,frank.cruz@gmail.com,Action,Multiplicity (1996)
163,49,M,administrator,97212,Hannah,Haley,hannah.haley@yahoo.com,Drama,As Good As It Gets (1997)
164,47,M,healthcare,80123,Sharon,Curry,sharon.curry@yahoo.com,Thriller,Executive Decision (1996)
165,20,F,other,53715,Elizabeth,White,elizabeth.white@outlook.com,Drama,Jeffrey (1995)
166,47,M,educator,55113,April,Jensen,april.jensen@gmail.com,Thriller,Conspiracy Theory (1997)
167,37,M,other,L9G2B,Elijah,Franco,elijah.franco@outlook.com,Drama,Delta of Venus (1994)
168,48,M,other,80127,Allison,Jackson,allison.jackson@gmail.com,Comedy,Willy Wonka and the Chocolate Factory (1971)
169,52,F,other,53705,Jamie,Pratt,jamie.pratt@outlook.com,Drama,"Peacemaker, The (1997)"
170,53,F,healthcare,30067,Jennifer,Martinez,jennifer.martinez@yahoo.com,Thriller,"MatchMaker, The (1997)"
171,48,F,educator,78750,Joshua,Nichols,joshua.nichols@gmail.com,Drama,Good Will Hunting (1997)
172,55,M,marketing,22207,Ashley,Roberts,ashley.roberts@yahoo.com,Drama,Alien (1979)
173,56,M,other,22306,Shawn,Gonzalez,shawn.gonzalez@gmail.com,Drama,Conspiracy Theory (1997)
174,30,F,administrator,52302,Sarah,Riley,sarah.riley@yahoo.com,Comedy,Apt Pupil (1998)
175,26,F,scientist,21911,Mallory,Alexander,mallory.alexander@outlook.com,Drama,"Godfather, The (1972)"
176,28,M,scientist,07030,Bryan,Espinoza,bryan.espinoza@gmail.com,Drama,Lost Highway (1997)
177,20,M,programmer,19104,Jonathon,Frazier,jonathon.frazier@yahoo.com,Drama,Pulp Fiction (1994)
178,26,M,other,49512,Kimberly,Ramos,kimberly.ramos@yahoo.com,Drama,Maverick (1994)
179,15,M,entertainment,20755,Joel,Young,joel.young@yahoo.com,Drama,Contact (1997)
180,22,F,administrator,60202,Daniel,Mendoza,daniel.mendoza@gmail.com,Drama,Like Water For Chocolate (Como agua para chocolate) (1992)
181,26,M,executive,21218,Olivia,Holt,olivia.holt@gmail.com,Drama,"Birdcage, The (1996)"
182,36,M,programmer,33884,Wanda,Wheeler,wanda.wheeler@yahoo.com,Drama,Forrest Gump (1994)
183,33,M,scientist,27708,Tiffany,Wong,tiffany.wong@gmail.com,Action,Casablanca (1942)
184,37,M,librarian,76013,Jacob,Hodge,jacob.hodge@yahoo.com,Drama,Mother (1996)
185,53,F,librarian,97403,John,Wood,john.wood@yahoo.com,Drama,Marvin's Room (1996)
186,39,F,executive,00000,Karen,Mendoza,karen.mendoza@gmail.com,Thriller,Clear and Present Danger (1994)
187,26,M,educator,16801,Christine,Mckenzie,christine.mckenzie@yahoo.com,Drama,"Shawshank Redemption, The (1994)"
188,42,M,student,29440,Lisa,Munoz,lisa.munoz@outlook.com,Drama,"American President, The (1995)"
189,32,M,artist,95014,Mariah,Pierce,mariah.pierce@yahoo.com,Drama,"Great Escape, The (1963)"
190,30,M,administrator,95938,Michael,Simmons,michael.simmons@outlook.com,Thriller,L.A. Confidential (1997)
191,33,M,administrator,95161,Ashley,Armstrong,ashley.armstrong@outlook.com,Drama,Titanic (1997)
192,42,M,educator,90840,Natalie,Johnson,natalie.johnson@gmail.com,Drama,Boy's Life 2 (1997)
193,29,M,student,49931,Faith,Adams,faith.adams@yahoo.com,Comedy,My Fair Lady (1964)
194,38,M,administrator,02154,Justin,Moore,justin.moore@outlook.com,Drama,"Great Escape, The (1963)"
195,42,M,scientist,93555,Caroline,Murphy,caroline.murphy@yahoo.com,Drama,Return of the Jedi (1983)
196,49,M,writer,55105,James,Martinez,james.martinez@outlook.com,Comedy,Stand by Me (1986)
197,55,M,technician,75094,John,Leon,john.leon@yahoo.com,Action,Terminator 2: Judgment Day (1991)
198,21,F,student,55414,Daniel,Bryant,daniel.bryant@yahoo.com,Drama,2001: A Space Odyssey (1968)
199,30,M,writer,17604,Carol,Patterson,carol.patterson@yahoo.com,Drama,Chasing Amy (1997)
200,40,M,programmer,93402,Robert,Howard,robert.howard@yahoo.com,Action,Star Trek: First Contact (1996)
201,27,M,writer,E2A4H,Anthony,Patterson,anthony.patterson@gmail.com,Drama,Unforgiven (1992)
202,41,F,educator,60201,John,Sparks,john.sparks@yahoo.com,Drama,It Happened One Night (1934)
203,25,F,student,32301,Tracy,Lopez,tracy.lopez@outlook.com,Drama,Return of the Jedi (1983)
204,52,F,librarian,10960,Matthew,Duke,matthew.duke@yahoo.com,Drama,Boogie Nights (1997)
205,47,M,lawyer,06371,Robert,Duran,robert.duran@gmail.com,Drama,As Good As It Gets (1997)
206,14,F,student,53115,Matthew,Miles,matthew.miles@outlook.com,Drama,L.A. Confidential (1997)
207,39,M,marketing,92037,Mariah,Kirk,mariah.kirk@gmail.com,Drama,Schindler's List (1993)
208,43,M,engineer,01720,Katherine,Jones,katherine.jones@gmail.com,Comedy,When Harry Met Sally... (1989)
209,33,F,educator,85710,John,Novak,john.novak@gmail.com,Drama,Shall We Dance? (1996)
210,39,M,engineer,03060,Karen,Harris,karen.harris@gmail.com,Comedy,Back to the Future (1985)
211,66,M,salesman,32605,Jonathan,Ray,jonathan.ray@outlook.com,Drama,Men in Black (1997)
212,49,F,educator,61401,Brittany,Williams,brittany.williams@gmail.com,Drama,"Graduate, The (1967)"
213,33,M,executive,55345,John,Walton,john.walton@gmail.com,Drama,Heat (1995)
214,26,F,librarian,11231,Molly,Richard,molly.richard@yahoo.com,Drama,Clerks (1994)
215,35,M,programmer,63033,Tara,Duffy,tara.duffy@gmail.com,Drama,E.T. the Extra-Terrestrial (1982)
216,22,M,engineer,02215,Chad,Boyd,chad.boyd@outlook.com,Drama,"Professional, The (1994)"
217,22,M,other,11727,Kimberly,Davis,kimberly.davis@outlook.com,Action,Braveheart (1995)
218,37,M,administrator,06513,Charles,Schmidt,charles.schmidt@gmail.com,Comedy,This Is Spinal Tap (1984)
219,32,M,programmer,43212,Jesse,Bennett,jesse.bennett@outlook.com,Drama,"Clockwork Orange, A (1971)"
220,30,M,librarian,78205,Joseph,Walker,joseph.walker@gmail.com,Drama,Scream (1996)
221,19,M,student,20685,David,Garcia,david.garcia@gmail.com,Action,Hoop Dreams (1994)
222,29,M,programmer,27502,John,Lee,john.lee@outlook.com,Comedy,Amistad (1997)
223,19,F,student,47906,Jordan,Jones,jordan.jones@yahoo.com,Comedy,Winnie the Pooh and the Blustery Day (1968)
224,31,F,educator,43512,Jennifer,Huber,jennifer.huber@gmail.com,Drama,Braveheart (1995)
225,51,F,administrator,58202,Jeffrey,Bowen,jeffrey.bowen@gmail.com,Drama,Jerry Maguire (1996)
226,28,M,student,92103,Randy,Ingram,randy.ingram@yahoo.com,Drama,Kolya (1996)
227,46,M,executive,60659,Kevin,Stout,kevin.stout@outlook.com,Drama,Breakdown (1997)
228,21,F,student,22003,Alexandra,Banks,alexandra.banks@gmail.com,Drama,Titanic (1997)
229,29,F,librarian,22903,Christina,Thompson,christina.thompson@gmail.com,Drama,L.A. Confidential (1997)
230,28,F,student,14476,Natalie,Roy,natalie.roy@yahoo.com,Drama,Ransom (1996)
231,48,M,librarian,01080,Jenny,Ward,jenny.ward@outlook.com,Action,"Spitfire Grill, The (1996)"
232,45,M,scientist,99709,Patrick,Bond,patrick.bond@yahoo.com,Drama,Casablanca (1942)
233,38,M,engineer,98682,Cassandra,Lowe,cassandra.lowe@gmail.com,Drama,Groundhog Day (1993)
234,60,M,retired,94702,Richard,Walker,richard.walker@yahoo.com,Drama,Singin' in the Rain (1952)
235,37,M,educator,22973,Tommy,Love,tommy.love@outlook.com,Drama,Four Weddings and a Funeral (1994)
236,44,F,writer,53214,Danielle,Houston,danielle.houston@yahoo.com,Drama,Priest (1994)
237,49,M,administrator,63146,Kristen,Burns,kristen.burns@gmail.com,Drama,"Killing Fields, The (1984)"
238,42,F,administrator,44124,Kimberly,Gregory,kimberly.gregory@gmail.com,Comedy,Face/Off (1997)
239,39,M,artist,95628,Sarah,Sullivan,sarah.sullivan@outlook.com,Drama,"Red Firecracker, Green Firecracker (1994)"
240,23,F,educator,20784,Brandy,Best,brandy.best@gmail.com,Thriller,Titanic (1997)
241,26,F,student,20001,Michelle,Barnes,michelle.barnes@yahoo.com,Drama,Amistad (1997)
242,33,M,educator,31404,Adam,Cobb,adam.cobb@outlook.com,Drama,Beautiful Thing (1996)
243,33,M,educator,60201,Larry,Rosario,larry.rosario@outlook.com,Drama,Breaking the Waves (1996)
244,28,M,technician,80525,Beth,Golden,beth.golden@yahoo.com,Comedy,Monty Python's Life of Brian (1979)
245,22,M,student,55109,Jodi,Patterson,jodi.patterson@outlook.com,Comedy,Grumpier Old Men (1995)
246,19,M,student,28734,Kenneth,Griffin,kenneth.griffin@outlook.com,Action,Evil Dead II (1987)
247,28,M,engineer,20770,Alexander,Garcia,alexander.garcia@outlook.com,Drama,Shadowlands (1993)
248,25,M,student,37235,Megan,Short,megan.short@yahoo.com,Action,"Rock, The (1996)"
249,25,M,student,84103,Brian,Bush,brian.bush@gmail.com,Drama,"Last of the Mohicans, The (1992)"
250,29,M,executive,95110,Mary,Ramirez,mary.ramirez@yahoo.com,Drama,"Hunchback of Notre Dame, The (1996)"
251,28,M,doctor,85032,Aaron,Liu,aaron.liu@yahoo.com,Action,Romy and Michele's High School Reunion (1997)
252,42,M,engineer,07733,Brian,Oliver,brian.oliver@gmail.com,Drama,Dead Man Walking (1995)
253,26,F,librarian,22903,Paul,Patton,paul.patton@yahoo.com,Drama,"Jungle Book, The (1994)"
254,44,M,educator,42647,Jeffrey,Brown,jeffrey.brown@gmail.com,Children's,Star Wars (1977)
255,23,M,entertainment,07029,Debra,Allison,debra.allison@outlook.com,Thriller,Austin Powers: International Man of Mystery (1997)
256,35,F,none,39042,Rebekah,Suarez,rebekah.suarez@outlook.com,Action,French Kiss (1995)
257,17,M,student,77005,Katherine,Griffin,katherine.griffin@gmail.com,Drama,Three Colors: Red (1994)
258,19,F,student,77801,Matthew,Johnson,matthew.johnson@gmail.com,Drama,Titanic (1997)
259,21,M,student,48823,Thomas,Williams,thomas.williams@yahoo.com,Drama,"Usual Suspects, The (1995)"
260,40,F,artist,89801,Michael,Hall,michael.hall@outlook.com,Thriller,Anna Karenina (1997)
261,28,M,administrator,85202,Stacey,Hodges,stacey.hodges@yahoo.com,Comedy,Boogie Nights (1997)
262,19,F,student,78264,Andre,White,andre.white@outlook.com,Drama,"Shawshank Redemption, The (1994)"
